,cfae1,cfde1,cfae2,cfde2,cfae3,cfde3
Dissimilarity,1.56 ± 0.75,1.85 ± 0.84,2.91 ± 0.91,2.94 ± 0.96,5.10 ± 2.25,4.26 ± 2.05
Sparsity,0.21 ± 0.23,0.54 ± 0.16,0.48 ± 0.14,0.53 ± 0.14,0.65 ± 0.16,0.55 ± 0.16
Plausibility,-1.38 ± 0.46,-1.79 ± 0.82,-1.08 ± 0.07,-1.31 ± 0.18,-1.23 ± 0.22,-1.46 ± 0.35
Validity,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,0.89 ± 0.31,1.00 ± 0.00
Diversity,0.33 ± 0.16,0.04 ± 0.04,1.41 ± 0.37,0.08 ± 0.05,3.65 ± 1.48,0.08 ± 0.06

Runtime,0.02 ± 0.01,0.03 ± 0.02,0.03 ± 0.02,0.01 ± 0.01,0.15 ± 0.07,0.02 ± 0.01
%Explained,01.00,01.00,01.00,01.00,0.99,01.00

#Valid,10.00 ± 0.00,10.00 ± 0.00,10.00 ± 0.00,10.00 ± 0.00,8.90 ± 2.26,10.00 ± 0.00
